am7kg,am7kg,40,74
am7kg,anl4ds,29,49
am7kg,atg2vd,-13,7
am7kg,bs5sk,19,57
am7kg,eah3t,93,43
am7kg,eaq2gf,-35,-43
am7kg,GrelenNegotiator,85,69
am7kg,jcb8nq,46,72
am7kg,jhh5fz,40,4
am7kg,jnl9nb,7,39
am7kg,mhp9dj,0,0
am7kg,sdw7ng,1,17
am7kg,sk9gn,90,18
am7kg,xvp2he,88,32
anl4ds,am7kg,8,1
anl4ds,anl4ds,-20,-22
anl4ds,atg2vd,-11,-12
anl4ds,bs5sk,96,69
anl4ds,eah3t,67,44
anl4ds,eaq2gf,-35,-42
anl4ds,GrelenNegotiator,98,55
anl4ds,jcb8nq,38,33
anl4ds,jhh5fz,-8,-13
anl4ds,jnl9nb,-7,-15
anl4ds,mhp9dj,10,10
anl4ds,sdw7ng,-5,-13
anl4ds,sk9gn,90,55
anl4ds,xvp2he,96,47
atg2vd,am7kg,-20,-28
atg2vd,anl4ds,54,78
atg2vd,atg2vd,85,13
atg2vd,bs5sk,49,85
atg2vd,eah3t,100,40
atg2vd,eaq2gf,-35,-43
atg2vd,GrelenNegotiator,100,60
atg2vd,jcb8nq,53,81
atg2vd,jhh5fz,49,85
atg2vd,jnl9nb,49,85
atg2vd,mhp9dj,0,0
atg2vd,sdw7ng,49,85
atg2vd,sk9gn,100,20
atg2vd,xvp2he,100,20
bs5sk,am7kg,72,34
bs5sk,anl4ds,63,87
bs5sk,atg2vd,92,52
bs5sk,bs5sk,60,100
bs5sk,eah3t,100,40
bs5sk,eaq2gf,-13,-9
bs5sk,GrelenNegotiator,92,60
bs5sk,jcb8nq,61,95
bs5sk,jhh5fz,88,52
bs5sk,jnl9nb,60,100
bs5sk,mhp9dj,60,100
bs5sk,sdw7ng,55,85
bs5sk,sk9gn,96,36
bs5sk,xvp2he,88,48
eah3t,am7kg,61,35
eah3t,anl4ds,65,91
eah3t,atg2vd,92,36
eah3t,bs5sk,60,100
eah3t,eah3t,100,40
